YEAR,Colombia/CGPD RELATIVE TO THE UNITED STATES (unit US=100),Colombia/CONSUMPTION SHARE OF CGPD (unit %),Colombia/CONSUMPTION SHARE OF RGDPL (unit %),Colombia/CURRENT SAVINGS (unit %),Colombia/EXCHANGE RATE (unit US=1),Colombia/GOVERNMENT SHARE OF CGDP (unit %),Colombia/GOVERNMENT SHARE OF RGDPL (unit %),Colombia/INVESTMENT SHARE OF CGDP (unit %),Colombia/INVESTMENT SHARE OF RGDPL (unit %),Colombia/OPENNESS IN CONSTANT PRICES (unit %),Colombia/OPENNESS IN CURRENT PRICES (unit %),Colombia/POPULATION (unit 000S),Colombia/PRICE LEVEL OF CONSUMPTION (unit PPP/XRATE),Colombia/PRICE LEVEL OF GOVERNMENT (unit PPP/XRATE),Colombia/PRICE LEVEL OF GROSS DOMESTIC PRODUCT (unit US=100),Colombia/PRICE LEVEL OF INVESTMENT (unit PPP/XRATE),Colombia/RATIO OF GNP TO GDP (CURRENT PRICES) (unit %),Colombia/REAL GROSS DOMESTIC PRODUCT PER CAPITA (CURRENT PRICES) (unit $ CURRENT)
1960,19.6601736310,75.9803456920,73.6083826720,14.5655251720,6.6350002290,9.4541291367,11.7840517330,15.0323835740,12.0809250500,22.5415970160,30.4163916170,16857.0000000000,47.2591106740,42.8791764820,50.0353473820,68.5683223630,99.4568826560,567.8681978400
1961,20.0821675800,76.8560450260,74.4911592780,13.4775445400,6.6999998090,9.6664104343,11.7617378930,15.5523552060,12.5756215360,20.9460855120,26.8580410410,17340.1200000000,49.8858503450,47.0471830820,52.7960523990,70.7507317270,99.3817635660,589.4641415100
1962,19.7584105120,77.7566946810,75.2810952920,12.1979717790,6.9012079240,10.0453335400,12.0181398700,13.3290529210,11.0661107990,20.8970638010,24.4520775560,17865.0400000000,50.7617101750,47.8801136520,53.7236389340,75.4063460540,99.3068856440,613.6008368900
1963,19.2162846880,78.6657277940,76.0867947100,10.9299140760,9.0000000000,10.4043581300,12.2532074000,12.4224245340,10.2975720640,19.8403260820,24.4019523460,18421.1900000000,47.1184383560,45.4672912510,50.1200424430,73.0247708220,99.1237013530,621.2033136200
1964,19.4053542280,79.1922990670,77.8595614180,11.0388871190,9.0000000000,9.7688138140,11.5671921720,12.8666811240,10.8507893830,21.2122129160,24.6296248640,18999.2000000000,53.5816951700,48.5583935430,56.1901258690,78.0388523210,99.2977193140,665.2888525600
1965,17.8847561660,76.9807105030,75.2208737660,12.4056974640,10.4750003800,10.6135920330,12.1367798970,12.3936211530,10.3726033350,19.6450170210,21.8346495410,19591.0000000000,51.1790659330,41.6522917390,53.3630675560,76.9574141970,98.3551956980,658.0463630200
1966,17.2591808590,80.4090466940,77.8596093450,8.7598340694,13.5000000000,10.8311192370,12.0415566090,12.9873645260,10.8407810630,21.2196847000,27.3941778810,20189.7300000000,43.4973840010,36.5437909580,46.5914006900,74.1269172850,98.6415347820,687.1903477500
1967,17.2579378900,76.6960432600,74.6148891470,12.1440864740,14.5063896200,11.1598702660,12.2544768450,12.7096104670,10.7011144460,19.0074177470,23.4663696030,20789.8100000000,43.5533118430,35.8515285070,45.6640275980,67.0171417950,97.5927661110,715.3464656500
1968,16.9607738320,77.5745795810,75.1715518450,11.3074036560,16.2906703900,11.1180167630,11.9513468370,13.8763620450,11.7614313850,20.7920305770,27.3866572150,21386.9000000000,40.3543214240,33.6926479970,43.1714999560,66.5153327340,98.9628917100,760.4570967900
1969,17.2706399120,77.8484809990,75.7837111670,10.8403377290,17.3201408400,11.3111812720,12.0333545970,13.2644494840,11.2356786150,20.4607213980,27.7127069940,21977.9100000000,38.8907004250,33.0440990720,41.6071047890,64.8516174080,98.1974349500,830.7377621000
1970,18.2671953890,76.8078264350,75.6476591130,10.8754915710,18.4430999800,12.3166819950,12.8739911930,14.2053777640,12.2182657340,21.0432121650,30.6028976000,22561.0000000000,37.6816379470,32.1241061140,40.5847489580,63.6174834220,97.1619667390,913.4087577500
1971,18.3037001210,76.4345609000,74.5427542310,8.4666326886,19.9319305400,15.0988064110,15.2162200570,13.9734085040,11.9861576530,21.7448979900,30.1481945730,23117.1900000000,38.1730139480,30.6366425390,40.1464920930,61.2171788020,97.5071526630,981.8458248400
1972,18.6676783990,76.1147820700,75.5913727260,10.5087521810,21.8656406400,13.3764657490,13.4460182450,12.3352824710,10.8854851090,20.8491665010,29.3703930720,23673.7100000000,37.0575850590,29.4566302060,39.2263918350,63.2033974350,97.5666353750,1088.9864412000
1973,18.7043565470,74.1456179160,74.8391457020,12.0808914730,23.6369800600,13.7734906110,13.8978295440,12.4380333690,11.0943936360,20.0189227450,30.0471598130,24234.5500000000,38.7712799890,29.5444847210,40.8762772730,65.9730633540,97.8779404510,1208.4550470000
1974,19.1090674290,75.7233336240,75.4208828220,11.0559070010,26.0641193400,13.2207593750,12.9505033550,13.5878296950,11.7664419410,18.3770824070,30.8382629220,24802.8500000000,40.3592613580,30.4670191250,43.7970705580,75.9255108800,98.3299419330,1326.1227170000
1975,19.7772261240,74.1411269680,74.4205494760,12.7724884780,30.9289398200,13.0863845540,12.8729234780,12.3327531030,10.5867338590,18.1409669560,30.3814411530,25381.0000000000,39.0860958350,29.1001232770,40.5340886390,61.3716975520,97.5048629010,1481.4079212000
1976,19.7133815290,73.1176884710,75.3856075010,14.2628620520,34.6939201400,12.6194494760,12.7598552040,12.4820083580,11.0863023300,17.9681622370,31.4168462870,25979.5100000000,40.5412358580,28.8096144400,42.1883142370,65.3626609950,97.6947789660,1631.8593433000
